amplitude,duration,energy,rms,rise_time,counts,label
0.000124826,0.0002805,76.22748605,5.33E-06,6.32E-05,4,0
0.000182672,0.0003324,110.2214607,6.02E-06,5.60E-06,7,0
0.00035621,0.0019954,1471.628226,8.00E-06,0.0001319,140,0
0.00020855,0.0004459,229.8857798,6.12E-06,0.0004167,20,0
0.000135482,0.0002702,78.56090296,8.00E-06,7.00E-06,3,0
0.000630217,0.0038428,3913.617895,5.64E-06,0.0002028,253,0
0.000407967,0.0018798,1621.197339,5.27E-06,0.0002674,126,0
0.000137004,0.0003047,134.7513508,7.03E-06,0.0002452,12,0
0.000207028,0.0008276,276.4118365,6.65E-06,1.82E-05,19,0
0.000207028,0.001408,619.4494274,7.11E-06,0.0001266,52,0
0.000135482,0.0002532,110.322958,6.04E-06,0.000242,4,0
0.00016136,0.0004147,159.325362,7.11E-06,0.0001505,16,0
0.000123303,0.0003941,91.06462139,7.36E-06,0.0003877,9,0
0.000132437,0.0002219,120.3672917,1.03E-05,1.80E-05,6,0
0.000290753,0.0011651,492.7519522,1.05E-05,0.0002157,44,0
0.000223773,0.0016019,531.0906576,9.32E-06,0.0001834,42,0
0.00019485,0.0004213,213.3830701,8.94E-06,0.0001555,20,0
0.005853107,0.0100631,347953.332,8.79E-06,0.0002837,1036,0
0.002825323,0.0097059,148331.9516,9.11E-06,0.0008184,1033,0
0.000548015,0.0022169,3290.895343,9.84E-06,0.0002419,181,0
0.000123303,0.0003019,109.8326197,9.66E-06,0.000298,4,0
0.000380566,0.0015674,837.6297483,1.05E-05,4.33E-05,67,0
0.000439934,0.0031492,3151.940709,1.21E-05,0.000219,222,0
0.000150704,0.0004338,98.84691068,1.21E-05,4.00E-07,2,0
0.000199417,0.0004519,419.7373404,1.20E-05,0.0002589,43,0
0.000248129,0.0032349,1486.766979,1.21E-05,0.0002188,141,0
0.000158315,0.0019678,484.2538061,1.20E-05,0.0011611,29,0
0.000231384,0.0006231,176.1879929,1.24E-05,1.17E-05,9,0
0.000225295,0.0010043,261.5228866,1.25E-05,6.93E-05,15,0
0.000409489,0.0021396,1724.399733,1.47E-05,0.000732,136,0
0.000277052,0.0011092,485.0318589,1.51E-05,0.0001422,53,0
0.000196372,0.00081,164.1320673,1.20E-05,5.40E-06,11,0
0.000146137,0.0007943,215.9187399,1.51E-05,0.0003387,11,0
0.000108081,0.0004816,94.65604793,1.49E-05,2.90E-05,2,0
0.000162882,0.0004913,166.3980975,1.46E-05,0.0002125,16,0
0.000143093,0.0007675,189.168702,1.03E-05,0.0003501,6,0
0.000184194,0.0005233,125.409619,1.15E-05,2.70E-06,10,0
0.000159838,0.0004421,120.0774452,1.39E-05,2.50E-06,5,0
0.000345554,0.0010358,470.1003636,1.23E-05,2.53E-05,36,0
0.000143093,0.000326,139.3849083,1.12E-05,1.03E-05,4,0
0.000401878,0.0018929,787.257456,1.31E-05,1.71E-05,66,0
0.000258785,0.001097,718.2096715,1.26E-05,0.0002133,62,0
0.000143093,0.0009488,235.7934753,1.18E-05,0.000105,7,0
0.000351643,0.0011804,502.4218121,1.31E-05,2.64E-05,56,0
0.000182672,0.001577,418.7390525,1.26E-05,0.0001636,26,0
0.00025574,0.0016094,725.2416228,1.35E-05,0.0001954,75,0
0.000176583,0.0013604,480.7461727,1.16E-05,0.0001691,53,0
0.000197894,0.0008444,356.3432766,1.03E-05,0.0002192,32,0
0.000172016,0.0003573,128.1040694,1.03E-05,2.68E-05,8,0
0.000225295,0.0012311,441.5485875,1.29E-05,0.0001545,34,0
0.000237473,0.0019286,698.4837988,1.28E-05,0.0001494,54,0
